codigo_ccif;nivel;ejemplo;tipo;frase_original;;;;;;
01.1.6.09.03;Producto;frutillas;incluido;pote de fruta lista en conserva, cajas de fruta lista en conserva, duraznos, piñas, papayas, damascos, frutillas, peras, macedonia (o cocktail) de frutas, cerezas y guindas, castañas en almíbar, marrasquinos y otras frutas;;;;;;
01.1.6.09.03;Producto;peras;incluido;pote de fruta lista en conserva, cajas de fruta lista en conserva, duraznos, piñas, papayas, damascos, frutillas, peras, macedonia (o cocktail) de frutas, cerezas y guindas, castañas en almíbar, marrasquinos y otras frutas;;;;;;
01.1.6.09.03;Producto;macedonia (o cocktail) de frutas;incluido;pote de fruta lista en conserva, cajas de fruta lista en conserva, duraznos, piñas, papayas, damascos, frutillas, peras, macedonia (o cocktail) de frutas, cerezas y guindas, castañas en almíbar, marrasquinos y otras frutas;;;;;;
01.1.6.09.03;Producto;cerezas;incluido;pote de fruta lista en conserva, cajas de fruta lista en conserva, duraznos, piñas, papayas, damascos, frutillas, peras, macedonia (o cocktail) de frutas, cerezas y guindas, castañas en almíbar, marrasquinos y otras frutas;;;;;;
01.1.6.09.03;Producto;guindas;incluido;pote de fruta lista en conserva, cajas de fruta lista en conserva, duraznos, piñas, papayas, damascos, frutillas, peras, macedonia (o cocktail) de frutas, cerezas y guindas, castañas en almíbar, marrasquinos y otras frutas;;;;;;
01.1.6.09.03;Producto;castañas en almíbar;incluido;pote de fruta lista en conserva, cajas de fruta lista en conserva, duraznos, piñas, papayas, damascos, frutillas, peras, macedonia (o cocktail) de frutas, cerezas y guindas, castañas en almíbar, marrasquinos y otras frutas;;;;;;
01.1.6.09.03;Producto;marrasquinos;incluido;pote de fruta lista en conserva, cajas de fruta lista en conserva, duraznos, piñas, papayas, damascos, frutillas, peras, macedonia (o cocktail) de frutas, cerezas y guindas, castañas en almíbar, marrasquinos y otras frutas;;;;;;
01.1.6.09.03;Producto;otras frutas;incluido;pote de fruta lista en conserva, cajas de fruta lista en conserva, duraznos, piñas, papayas, damascos, frutillas, peras, macedonia (o cocktail) de frutas, cerezas y guindas, castañas en almíbar, marrasquinos y otras frutas;;;;;;
01.1.6.09.99;Producto;harina de frutas;incluido;harina de frutas y frutos secos, preparaciones de fruta homogeneizadas, encurtidos de frutas, fruta conservada en vinagre;;;;;;
01.1.6.09.99;Producto;frutos secos;incluido;harina de frutas y frutos secos, preparaciones de fruta homogeneizadas, encurtidos de frutas, fruta conservada en vinagre;;;;;;
01.1.6.09.99;Producto;preparaciones de fruta homogeneizadas;incluido;harina de frutas y frutos secos, preparaciones de fruta homogeneizadas, encurtidos de frutas, fruta conservada en vinagre;;;;;;
01.1.6.09.99;Producto;encurtidos de frutas;incluido;harina de frutas y frutos secos, preparaciones de fruta homogeneizadas, encurtidos de frutas, fruta conservada en vinagre;;;;;;
01.1.6.09.99;Producto;fruta conservada en vinagre;incluido;harina de frutas y frutos secos, preparaciones de fruta homogeneizadas, encurtidos de frutas, fruta conservada en vinagre;;;;;;
01.1.1.02.00;Subclase;harinas de cereal;excluido;harinas de cereal (01.1.1.02.00);;;;;;
01.1.7.09.01;Producto;harinas de legumbres;excluido;harinas de legumbres, hortalizas, tubérculos y bananas para cocinar (01.1.7.09.01);;;;;;
01.1.7.09.01;Producto;bananas para cocinar;excluido;harinas de legumbres, hortalizas, tubérculos y bananas para cocinar (01.1.7.09.01);;;;;;
01.1.9.02.02;Producto;preparaciones de frutas homogeneizadas para bebés;excluido;preparaciones de frutas homogeneizadas para bebés (01.1.9.02.02);;;;;;
01.1.7.01.00;Subclase;espárragos;incluido;espárragos;;;;;;
01.1.7.01.00;Subclase;coles;incluido;coles;;;;;;
01.1.7.01.00;Subclase;coliflores;incluido;coliflores y brócolis;;;;;;
01.1.7.01.00;Subclase;brócolis;incluido;coliflores y brócolis;;;;;;
01.1.7.01.00;Subclase;lechuga;incluido;lechuga y achicoria;;;;;;
01.1.7.01.00;Subclase;achicoria;incluido;lechuga y achicoria;;;;;;
01.1.7.01.00;Subclase;espinacas;incluido;espinacas;;;;;;
01.1.7.01.00;Subclase;alcachofas;incluido;alcachofas;;;;;;
01.1.7.01.00;Subclase;otras hortalizas de hoja;incluido;otras hortalizas de hoja o tallo, frescas o refrigeradas;;;;;;
01.1.7.01.00;Subclase;tallo;incluido;otras hortalizas de hoja o tallo, frescas o refrigeradas;;;;;;
01.1.7.01.01;Producto;lechugas frescas;incluido;lechugas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, costina, escarola, española, francesa, marina, milanesa;;;;;;
01.1.7.01.01;Producto;refrigeradas en todas sus variedades;incluido;lechugas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, costina, escarola, española, francesa, marina, milanesa;;;;;;
01.1.7.01.01;Producto;costina;incluido;lechugas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, costina, escarola, española, francesa, marina, milanesa;;;;;;
01.1.7.01.01;Producto;escarola;incluido;lechugas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, costina, escarola, española, francesa, marina, milanesa;;;;;;
01.1.7.01.01;Producto;española;incluido;lechugas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, costina, escarola, española, francesa, marina, milanesa;;;;;;
01.1.7.01.01;Producto;francesa;incluido;lechugas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, costina, escarola, española, francesa, marina, milanesa;;;;;;
01.1.7.01.01;Producto;marina;incluido;lechugas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, costina, escarola, española, francesa, marina, milanesa;;;;;;
01.1.7.01.01;Producto;milanesa;incluido;lechugas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, costina, escarola, española, francesa, marina, milanesa;;;;;;
01.1.7.01.02;Producto;apios frescos;incluido;apios frescos o refrigerados en todas sus variedades o denominaciones;;;;;;
01.1.7.01.02;Producto;refrigerados en todas sus variedades;incluido;apios frescos o refrigerados en todas sus variedades o denominaciones;;;;;;
01.1.7.01.03;Producto;acelgas frescas;incluido;acelgas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, verde penca blanca, Ginebra, rey de invierno, rubí, arcoíris;;;;;;
01.1.7.01.03;Producto;refrigeradas en todas sus variedades;incluido;acelgas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, verde penca blanca, Ginebra, rey de invierno, rubí, arcoíris;;;;;;
01.1.7.01.03;Producto;verde penca blanca;incluido;acelgas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, verde penca blanca, Ginebra, rey de invierno, rubí, arcoíris;;;;;;
01.1.7.01.03;Producto;Ginebra;incluido;acelgas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, verde penca blanca, Ginebra, rey de invierno, rubí, arcoíris;;;;;;
01.1.7.01.03;Producto;rey de invierno;incluido;acelgas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, verde penca blanca, Ginebra, rey de invierno, rubí, arcoíris;;;;;;
01.1.7.01.03;Producto;rubí;incluido;acelgas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, verde penca blanca, Ginebra, rey de invierno, rubí, arcoíris;;;;;;
01.1.7.01.03;Producto;arcoíris;incluido;acelgas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, verde penca blanca, Ginebra, rey de invierno, rubí, arcoíris;;;;;;
01.1.7.01.04;Producto;espinacas frescas;incluido;espinacas frescas o refrigeradas;;;;;;
01.1.7.01.05;Producto;alcachofas frescas;incluido;alcachofas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, chilena, Argentina, española, camus, verde, violeta;;;;;;
01.1.7.01.05;Producto;refrigeradas en todas sus variedades;incluido;alcachofas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, chilena, Argentina, española, camus, verde, violeta;;;;;;
01.1.7.01.05;Producto;chilena;incluido;alcachofas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, chilena, Argentina, española, camus, verde, violeta;;;;;;
01.1.7.01.05;Producto;Argentina;incluido;alcachofas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, chilena, Argentina, española, camus, verde, violeta;;;;;;
01.1.7.01.05;Producto;española;incluido;alcachofas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, chilena, Argentina, española, camus, verde, violeta;;;;;;
01.1.7.01.05;Producto;camus;incluido;alcachofas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, chilena, Argentina, española, camus, verde, violeta;;;;;;
01.1.7.01.05;Producto;violeta;incluido;alcachofas frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, chilena, Argentina, española, camus, verde, violeta;;;;;;
01.1.7.01.06;Producto;espárragos frescos;incluido;espárragos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, blanco, morado, silvestre;;;;;;
01.1.7.01.06;Producto;refrigerados en todas sus variedades;incluido;espárragos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, blanco, morado, silvestre;;;;;;
01.1.7.01.06;Producto;morado;incluido;espárragos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, blanco, morado, silvestre;;;;;;
01.1.7.01.06;Producto;silvestre;incluido;espárragos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, blanco, morado, silvestre;;;;;;
01.1.7.01.07;Producto;repollos (coles) frescos;incluido;repollos (coles) frescos o refrigerados;;;;;;
01.1.7.01.08;Producto;coliflores frescas;incluido;coliflores frescas o refrigeradas;;;;;;
01.1.7.01.09;Producto;brócolis frescos;incluido;brócolis frescos o refrigerados;;;;;;
01.1.7.01.99;Producto;rúculas;incluido;rúculas, pencas, nalcas, berros, achicorias, chagual, endivias o endibias frescas o refrigeradas;;;;;;
01.1.7.01.99;Producto;pencas;incluido;rúculas, pencas, nalcas, berros, achicorias, chagual, endivias o endibias frescas o refrigeradas;;;;;;
01.1.7.01.99;Producto;nalcas;incluido;rúculas, pencas, nalcas, berros, achicorias, chagual, endivias o endibias frescas o refrigeradas;;;;;;
01.1.7.01.99;Producto;berros;incluido;rúculas, pencas, nalcas, berros, achicorias, chagual, endivias o endibias frescas o refrigeradas;;;;;;
01.1.7.01.99;Producto;achicorias;incluido;rúculas, pencas, nalcas, berros, achicorias, chagual, endivias o endibias frescas o refrigeradas;;;;;;
01.1.7.01.99;Producto;chagual;incluido;rúculas, pencas, nalcas, berros, achicorias, chagual, endivias o endibias frescas o refrigeradas;;;;;;
01.1.7.01.99;Producto;endivias;incluido;rúculas, pencas, nalcas, berros, achicorias, chagual, endivias o endibias frescas o refrigeradas;;;;;;
01.1.7.01.99;Producto;endibias frescas;incluido;rúculas, pencas, nalcas, berros, achicorias, chagual, endivias o endibias frescas o refrigeradas;;;;;;
01.1.7.02.00;Subclase;ajíes (chiles);incluido;ajíes (chiles) y pimientos;;;;;;
01.1.7.02.00;Subclase;pimientos;incluido;ajíes (chiles) y pimientos;;;;;;
01.1.7.02.00;Subclase;pepinos;incluido;pepinos y pepinillos;;;;;;
01.1.7.02.00;Subclase;pepinillos;incluido;pepinos y pepinillos;;;;;;
01.1.7.02.00;Subclase;berenjenas;incluido;berenjenas;;;;;;
01.1.7.02.00;Subclase;tomates;incluido;tomates;;;;;;
01.1.7.02.00;Subclase;calabazas;incluido;calabazas;;;;;;
01.1.7.02.00;Subclase;zapallos italianos (zucchini);incluido;zapallos italianos (zucchini) y zapallos;;;;;;
01.1.7.02.00;Subclase;zapallos;incluido;zapallos italianos (zucchini) y zapallos;;;;;;
01.1.7.02.00;Subclase;otras hortalizas frutales;incluido;otras hortalizas frutales, frescas o refrigeradas;;;;;;
01.1.7.02.01;Producto;ajíes frescos;incluido;ajíes frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, rocoto, cacho de cabra, jalapeño, Serrano, Tabasco;;;;;;
01.1.7.02.01;Producto;refrigerados en todas sus variedades;incluido;ajíes frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, rocoto, cacho de cabra, jalapeño, Serrano, Tabasco;;;;;;
01.1.7.02.01;Producto;rocoto;incluido;ajíes frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, rocoto, cacho de cabra, jalapeño, Serrano, Tabasco;;;;;;
01.1.7.02.01;Producto;cacho de cabra;incluido;ajíes frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, rocoto, cacho de cabra, jalapeño, Serrano, Tabasco;;;;;;
01.1.7.02.01;Producto;jalapeño;incluido;ajíes frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, rocoto, cacho de cabra, jalapeño, Serrano, Tabasco;;;;;;
01.1.7.02.01;Producto;Serrano;incluido;ajíes frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, rocoto, cacho de cabra, jalapeño, Serrano, Tabasco;;;;;;
01.1.7.02.01;Producto;Tabasco;incluido;ajíes frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, verde, rocoto, cacho de cabra, jalapeño, Serrano, Tabasco;;;;;;
01.1.7.02.02;Producto;zapallos frescos;incluido;zapallos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, calabacín, calabazas;;;;;;
01.1.7.02.02;Producto;refrigerados en todas sus variedades;incluido;zapallos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, calabacín, calabazas;;;;;;
01.1.7.02.02;Producto;calabacín;incluido;zapallos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, calabacín, calabazas;;;;;;
01.1.7.02.02;Producto;calabazas;incluido;zapallos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, calabacín, calabazas;;;;;;
01.1.7.02.02;Producto;alcayotas;incluido;zapallos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, calabacín, calabazas;;;;;;
01.1.7.02.06;Producto;zapallos italianos;excluido;zapallos italianos (01.1.7.02.06);;;;;;
01.1.7.02.03;Producto;pepinos frescos;incluido;pepinos frescos o refrigerados como pepino maduro, pepino verde;;;;;;
01.1.7.02.03;Producto;pepino maduro;incluido;pepinos frescos o refrigerados como pepino maduro, pepino verde;;;;;;
01.1.7.02.03;Producto;pepino verde;incluido;pepinos frescos o refrigerados como pepino maduro, pepino verde;;;;;;
01.1.6.05.07;Producto;pepinos dulces;excluido;pepinos dulces, fruta (01.1.6.05.07);;;;;;
01.1.6.05.07;Producto;fruta;excluido;pepinos dulces, fruta (01.1.6.05.07);;;;;;
01.1.7.02.04;Producto;morrones;incluido;morrones, pimentones frescos o refrigerados en todas sus variedades o denominaciones y colores;;;;;;
01.1.7.02.04;Producto;pimentones frescos;incluido;morrones, pimentones frescos o refrigerados en todas sus variedades o denominaciones y colores;;;;;;
01.1.7.02.04;Producto;refrigerados en todas sus variedades;incluido;morrones, pimentones frescos o refrigerados en todas sus variedades o denominaciones y colores;;;;;;
01.1.7.02.04;Producto;colores;incluido;morrones, pimentones frescos o refrigerados en todas sus variedades o denominaciones y colores;;;;;;
01.1.7.02.05;Producto;berenjenas frescas;incluido;berenjenas frescas o refrigeradas;;;;;;
01.1.7.02.06;Producto;zapallos italianos frescos;incluido;zapallos italianos frescos o refrigerados en todas sus variedades o denominaciones;;;;;;
01.1.7.02.06;Producto;refrigerados en todas sus variedades;incluido;zapallos italianos frescos o refrigerados en todas sus variedades o denominaciones;;;;;;
01.1.7.02.02;Producto;zapallos frescos;excluido;zapallos frescos o refrigerados (01.1.7.02.02);;;;;;
01.1.7.02.07;Producto;tomates frescos;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.07;Producto;refrigerados en todas sus variedades;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.07;Producto;cherry;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.07;Producto;beefsteak;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.07;Producto;amarillo;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.07;Producto;naranja;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.07;Producto;rosado;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.07;Producto;púrpura;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.07;Producto;romanito;incluido;tomates frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, cherry, beefsteak, amarillo, verde, naranja, rosado, púrpura, romanito;;;;;;
01.1.7.02.99;Producto;pepinillos;incluido;pepinillos, caiguas o caihuas, otras hortalizas frutales, frescas o refrigeradas;;;;;;
01.1.7.02.99;Producto;caiguas;incluido;pepinillos, caiguas o caihuas, otras hortalizas frutales, frescas o refrigeradas;;;;;;
01.1.7.02.99;Producto;caihuas;incluido;pepinillos, caiguas o caihuas, otras hortalizas frutales, frescas o refrigeradas;;;;;;
01.1.7.02.99;Producto;otras hortalizas frutales;incluido;pepinillos, caiguas o caihuas, otras hortalizas frutales, frescas o refrigeradas;;;;;;
01.1.7.03.00;Subclase;porotos verdes (frijoles verdes);incluido;porotos verdes (frijoles verdes);;;;;;
01.1.7.03.00;Subclase;arvejas (guisantes);incluido;arvejas (guisantes);;;;;;
01.1.7.03.00;Subclase;habas (incluye horse beans);incluido;habas (incluye horse beans);;;;;;
01.1.7.03.00;Subclase;granos de soja;incluido;granos de soja;;;;;;
01.1.7.03.00;Subclase;otras leguminosas verdes;incluido;otras leguminosas verdes, frescas o refrigeradas;;;;;;
01.1.7.03.01;Producto;arvejas (guisantes) frescas;incluido;arvejas (guisantes) frescas o refrigeradas;;;;;;
01.1.7.06.04;Producto;arvejas secas;excluido;arvejas secas (01.1.7.06.04);;;;;;
01.1.7.03.02;Producto;porotos verdes (frijoles verdes) frescos;incluido;porotos verdes (frijoles verdes) frescos o refrigerados;;;;;;
01.1.7.03.03;Producto;habas frescas;incluido;habas frescas o refrigeradas;;;;;;
01.1.7.03.99;Producto;otras leguminosas verdes;incluido;otras leguminosas verdes, frescas o refrigeradas como granos de soja, dientes de dragón (brotes de soja), brotes de alfalfas, brotes de lentejas, brotes de garbanzos, brotes de porotos, etc;;;;;;
01.1.7.03.99;Producto;granos de soja;incluido;otras leguminosas verdes, frescas o refrigeradas como granos de soja, dientes de dragón (brotes de soja), brotes de alfalfas, brotes de lentejas, brotes de garbanzos, brotes de porotos, etc;;;;;;
01.1.7.03.99;Producto;dientes de dragón (brotes de soja);incluido;otras leguminosas verdes, frescas o refrigeradas como granos de soja, dientes de dragón (brotes de soja), brotes de alfalfas, brotes de lentejas, brotes de garbanzos, brotes de porotos, etc;;;;;;
01.1.7.03.99;Producto;brotes de alfalfas;incluido;otras leguminosas verdes, frescas o refrigeradas como granos de soja, dientes de dragón (brotes de soja), brotes de alfalfas, brotes de lentejas, brotes de garbanzos, brotes de porotos, etc;;;;;;
01.1.7.03.99;Producto;brotes de lentejas;incluido;otras leguminosas verdes, frescas o refrigeradas como granos de soja, dientes de dragón (brotes de soja), brotes de alfalfas, brotes de lentejas, brotes de garbanzos, brotes de porotos, etc;;;;;;
01.1.7.03.99;Producto;brotes de garbanzos;incluido;otras leguminosas verdes, frescas o refrigeradas como granos de soja, dientes de dragón (brotes de soja), brotes de alfalfas, brotes de lentejas, brotes de garbanzos, brotes de porotos, etc;;;;;;
01.1.7.03.99;Producto;brotes de porotos;incluido;otras leguminosas verdes, frescas o refrigeradas como granos de soja, dientes de dragón (brotes de soja), brotes de alfalfas, brotes de lentejas, brotes de garbanzos, brotes de porotos, etc;;;;;;
01.1.7.04.00;Subclase;zanahorias;incluido;zanahorias y nabos;;;;;;
01.1.7.04.00;Subclase;nabos;incluido;zanahorias y nabos;;;;;;
01.1.7.04.00;Subclase;ajos;incluido;ajos;;;;;;
01.1.7.04.00;Subclase;cebollas;incluido;cebollas;;;;;;
01.1.7.04.00;Subclase;puerros;incluido;puerros y otras hortalizas aliáceas;;;;;;
01.1.7.04.00;Subclase;otras hortalizas aliáceas;incluido;puerros y otras hortalizas aliáceas;;;;;;
01.1.7.04.00;Subclase;otras hortalizas de raíz;incluido;otras hortalizas de raíz, bulbo y tuberosas, frescas o refrigeradas;;;;;;
01.1.7.04.00;Subclase;bulbo;incluido;otras hortalizas de raíz, bulbo y tuberosas, frescas o refrigeradas;;;;;;
01.1.7.04.00;Subclase;tuberosas;incluido;otras hortalizas de raíz, bulbo y tuberosas, frescas o refrigeradas;;;;;;
01.1.7.04.00;Subclase;setas;incluido;setas y trufas;;;;;;
01.1.7.04.00;Subclase;trufas;incluido;setas y trufas;;;;;;
01.1.7.04.00;Subclase;algas;incluido;algas y otras plantas acuáticas;;;;;;
01.1.7.04.00;Subclase;otras plantas acuáticas;incluido;algas y otras plantas acuáticas;;;;;;
01.1.7.04.00;Subclase;aceitunas frescas;incluido;aceitunas frescas;;;;;;
01.1.7.04.00;Subclase;otras hortalizas;incluido;otras hortalizas, frescas o refrigeradas n.c.p;;;;;;
01.1.7.04.00;Subclase;refrigeradas n.c.p;incluido;otras hortalizas, frescas o refrigeradas n.c.p;;;;;;
01.1.7.04.00;Subclase;mezclas de hortalizas;incluido;mezclas de hortalizas, frescas o refrigeradas;;;;;;
01.1.7.04.01;Producto;betarragas;incluido;betarragas y remolachas, frescas o refrigeradas en todas sus variedades o denominaciones;;;;;;
01.1.7.04.01;Producto;remolachas;incluido;betarragas y remolachas, frescas o refrigeradas en todas sus variedades o denominaciones;;;;;;
01.1.7.04.01;Producto;refrigeradas en todas sus variedades;incluido;betarragas y remolachas, frescas o refrigeradas en todas sus variedades o denominaciones;;;;;;
01.1.7.04.02;Producto;ajos frescos;incluido;ajos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, de cuello duro, ajos de cuello blando, ajo blanco, ajo rosado;;;;;;
01.1.7.04.02;Producto;refrigerados en todas sus variedades;incluido;ajos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, de cuello duro, ajos de cuello blando, ajo blanco, ajo rosado;;;;;;
01.1.7.04.02;Producto;ajos de cuello blando;incluido;ajos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, de cuello duro, ajos de cuello blando, ajo blanco, ajo rosado;;;;;;
01.1.7.04.02;Producto;ajo blanco;incluido;ajos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, de cuello duro, ajos de cuello blando, ajo blanco, ajo rosado;;;;;;
01.1.7.04.02;Producto;ajo rosado;incluido;ajos frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, de cuello duro, ajos de cuello blando, ajo blanco, ajo rosado;;;;;;
01.1.7.04.05;Producto;chalotas;excluido;chalotas (01.1.7.04.05);;;;;;
01.1.7.04.03;Producto;zanahorias frescas;incluido;zanahorias frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, oriental, occidental, blanca, amarilla, roja y púrpura;;;;;;
01.1.7.04.03;Producto;refrigeradas en todas sus variedades;incluido;zanahorias frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, oriental, occidental, blanca, amarilla, roja y púrpura;;;;;;
01.1.7.04.03;Producto;oriental;incluido;zanahorias frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, oriental, occidental, blanca, amarilla, roja y púrpura;;;;;;
01.1.7.04.03;Producto;occidental;incluido;zanahorias frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, oriental, occidental, blanca, amarilla, roja y púrpura;;;;;;
01.1.7.04.03;Producto;amarilla;incluido;zanahorias frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, oriental, occidental, blanca, amarilla, roja y púrpura;;;;;;
01.1.7.04.03;Producto;púrpura;incluido;zanahorias frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, oriental, occidental, blanca, amarilla, roja y púrpura;;;;;;
01.1.7.04.04;Producto;rábanos;incluido;rábanos y nabos, frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, rabanitos, rábano japonés, rábanos blancos o nabos;;;;;;
01.1.7.04.04;Producto;nabos;incluido;rábanos y nabos, frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, rabanitos, rábano japonés, rábanos blancos o nabos;;;;;;
01.1.7.04.04;Producto;refrigerados en todas sus variedades;incluido;rábanos y nabos, frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, rabanitos, rábano japonés, rábanos blancos o nabos;;;;;;
01.1.7.04.04;Producto;rabanitos;incluido;rábanos y nabos, frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, rabanitos, rábano japonés, rábanos blancos o nabos;;;;;;
01.1.7.04.04;Producto;rábano japonés;incluido;rábanos y nabos, frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, rabanitos, rábano japonés, rábanos blancos o nabos;;;;;;
01.1.7.04.04;Producto;rábanos blancos;incluido;rábanos y nabos, frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, rabanitos, rábano japonés, rábanos blancos o nabos;;;;;;
01.1.7.04.05;Producto;cebollas;incluido;cebollas y chalotas, frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, nueva o de guarda, cambrayes, rojas, cebollines, puerros;;;;;;
01.1.7.04.05;Producto;chalotas;incluido;cebollas y chalotas, frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, nueva o de guarda, cambrayes, rojas, cebollines, puerros;;;;;;
01.1.7.04.05;Producto;refrigeradas en todas sus variedades;incluido;cebollas y chalotas, frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, nueva o de guarda, cambrayes, rojas, cebollines, puerros;;;;;;
01.1.7.04.05;Producto;cambrayes;incluido;cebollas y chalotas, frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, nueva o de guarda, cambrayes, rojas, cebollines, puerros;;;;;;
01.1.7.04.05;Producto;cebollines;incluido;cebollas y chalotas, frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, nueva o de guarda, cambrayes, rojas, cebollines, puerros;;;;;;
01.1.7.04.05;Producto;puerros;incluido;cebollas y chalotas, frescas o refrigeradas en todas sus variedades o denominaciones, por ejemplo, nueva o de guarda, cambrayes, rojas, cebollines, puerros;;;;;;
01.1.7.04.06;Producto;choclos frescos;incluido;choclos frescos o refrigerados;;;;;;
01.1.7.04.06;Producto;choclos dulces;incluido;"choclos dulces, conocidos como ""choclos americanos"" frescos o refrigerados";;;;;;
01.1.7.04.06;Producto;conocidos;incluido;"choclos dulces, conocidos como ""choclos americanos"" frescos o refrigerados";;;;;;
01.1.7.04.06;Producto;"""choclos americanos"" frescos";incluido;"choclos dulces, conocidos como ""choclos americanos"" frescos o refrigerados";;;;;;
01.1.1.01.02;Producto;maíz seco (cereal);excluido;maíz seco (cereal) (01.1.1.01.02);;;;;;
01.1.7.04.07;Producto;hongos comestibles frescos;incluido;hongos comestibles frescos o refrigerados en todas sus variedades o denominaciones, por ejemplo, champiñones, setas, callampas, trufas, digüeñes y otros hongos comestibles frescos o refrigerados;;;;;;
